rank,tensor,expert_idx,role,layer,expert_bytes,rows,bytes,prompts,source_rows,source_bytes,jobs_hist
19,blk.20.ffn_down_exps.weight,364,down,20,7798784,21,163774464,"dev_france_regression,dev_intelligence_general","{""0"": 21}","{""0"": 163774464}","{""4"": 4, ""5"": 4, ""6"": 5, ""7"": 4, ""8"": 4}"
20,blk.21.ffn_down_exps.weight,30,down,21,7798784,21,163774464,"dev_france_regression,dev_intelligence_general","{""0"": 21}","{""0"": 163774464}","{""1"": 1, ""3"": 5, ""4"": 3, ""5"": 5, ""6"": 5, ""7"": 2}"
21,blk.34.ffn_down_exps.weight,295,down,34,6307840,21,132464640,"dev_france_regression,dev_intelligence_general","{""0"": 21}","{""0"": 132464640}","{""2"": 3, ""3"": 1, ""4"": 4, ""5"": 5, ""6"": 5, ""7"": 1, ""8"": 2}"
22,blk.38.ffn_down_exps.weight,188,down,38,6307840,21,132464640,"dev_france_regression,dev_intelligence_general","{""0"": 21}","{""0"": 132464640}","{""4"": 4, ""5"": 2, ""6"": 3, ""7"": 3, ""8"": 9}"
23,blk.40.ffn_down_exps.weight,285,down,40,6307840,21,132464640,"dev_france_regression,dev_intelligence_general","{""0"": 21}","{""0"": 132464640}","{""3"": 2, ""4"": 4, ""5"": 4, ""6"": 4, ""7"": 3, ""8"": 4}"
24,blk.27.ffn_down_exps.weight,37,down,27,6307840,21,132464640,"dev_france_regression,dev_intelligence_general","{""0"": 21}","{""0"": 132464640}","{""3"": 1, ""4"": 2, ""5"": 5, ""6"": 7, ""7"": 6}"
25,blk.1.ffn_down_exps.weight,332,down,1,6307840,21,132464640,"dev_france_regression,dev_intelligence_general","{""1"": 21}","{""1"": 132464640}","{""4"": 1, ""5"": 2, ""6"": 4, ""7"": 8, ""8"": 6}"
26,blk.8.ffn_down_exps.weight,275,down,8,8257536,20,165150720,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 165150720}","{""3"": 2, ""4"": 3, ""5"": 3, ""6"": 7, ""7"": 4, ""8"": 1}"
27,blk.18.ffn_down_exps.weight,49,down,18,8257536,20,165150720,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 165150720}","{""4"": 1, ""5"": 7, ""6"": 4, ""7"": 7, ""8"": 1}"
28,blk.22.ffn_down_exps.weight,288,down,22,7798784,20,155975680,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 155975680}","{""4"": 1, ""6"": 3, ""7"": 8, ""8"": 8}"
29,blk.21.ffn_down_exps.weight,207,down,21,7798784,20,155975680,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 155975680}","{""5"": 4, ""6"": 9, ""7"": 2, ""8"": 5}"
30,blk.23.ffn_down_exps.weight,5,down,23,7798784,20,155975680,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 155975680}","{""3"": 3, ""4"": 5, ""5"": 3, ""6"": 3, ""7"": 6}"
31,blk.28.ffn_down_exps.weight,177,down,28,6307840,20,126156800,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 126156800}","{""3"": 2, ""4"": 1, ""5"": 4, ""6"": 7, ""7"": 2, ""8"": 4}"
32,blk.27.ffn_down_exps.weight,99,down,27,6307840,20,126156800,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 126156800}","{""5"": 2, ""6"": 4, ""7"": 8, ""8"": 6}"
33,blk.37.ffn_down_exps.weight,129,down,37,6307840,20,126156800,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 126156800}","{""2"": 1, ""3"": 6, ""4"": 6, ""5"": 3, ""6"": 1, ""7"": 2, ""8"": 1}"
34,blk.30.ffn_down_exps.weight,324,down,30,6307840,20,126156800,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 126156800}","{""3"": 1, ""5"": 2, ""6"": 3, ""7"": 2, ""8"": 12}"
35,blk.30.ffn_down_exps.weight,209,down,30,6307840,20,126156800,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 126156800}","{""3"": 1, ""4"": 2, ""5"": 6, ""6"": 2, ""7"": 3, ""8"": 6}"
36,blk.43.ffn_down_exps.weight,110,down,43,6307840,20,126156800,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 126156800}","{""2"": 3, ""3"": 3, ""4"": 7, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1}"
37,blk.60.ffn_down_exps.weight,126,down,60,6307840,20,126156800,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 126156800}","{""2"": 1, ""3"": 2, ""4"": 4, ""5"": 6, ""6"": 6, ""7"": 1}"
38,blk.36.ffn_down_exps.weight,52,down,36,6307840,20,126156800,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 126156800}","{""3"": 3, ""4"": 6, ""5"": 5, ""6"": 1, ""7"": 3, ""8"": 2}"
39,blk.5.ffn_down_exps.weight,200,down,5,6307840,20,126156800,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 126156800}","{""3"": 1, ""5"": 3, ""6"": 4, ""7"": 9, ""8"": 3}"
40,blk.16.ffn_up_exps.weight,78,up,16,4702208,20,94044160,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 94044160}","{""5"": 5, ""6"": 3, ""7"": 6, ""8"": 6}"
41,blk.16.ffn_gate_exps.weight,78,gate,16,4702208,20,94044160,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 94044160}","{""5"": 5, ""6"": 3, ""7"": 6, ""8"": 6}"
42,blk.8.ffn_gate_exps.weight,275,gate,8,4702208,20,94044160,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 94044160}","{""2"": 1, ""3"": 2, ""4"": 7, ""5"": 3, ""6"": 4, ""7"": 3}"
43,blk.23.ffn_up_exps.weight,5,up,23,4702208,20,94044160,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 94044160}","{""2"": 2, ""3"": 4, ""4"": 7, ""5"": 4, ""6"": 2, ""7"": 1}"
44,blk.23.ffn_gate_exps.weight,5,gate,23,4702208,20,94044160,"dev_france_regression,dev_intelligence_general","{""0"": 20}","{""0"": 94044160}","{""2"": 2, ""3"": 4, ""4"": 7, ""5"": 4, ""6"": 2, ""7"": 1}"
45,blk.10.ffn_down_exps.weight,28,down,10,8257536,19,156893184,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 156893184}","{""3"": 1, ""4"": 3, ""5"": 4, ""6"": 6, ""7"": 5}"
46,blk.15.ffn_down_exps.weight,294,down,15,8257536,19,156893184,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 156893184}","{""4"": 1, ""5"": 1, ""6"": 5, ""7"": 5, ""8"": 7}"
47,blk.24.ffn_down_exps.weight,74,down,24,7798784,19,148176896,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 148176896}","{""7"": 5, ""8"": 14}"
48,blk.26.ffn_down_exps.weight,179,down,26,7798784,19,148176896,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 148176896}","{""6"": 3, ""7"": 7, ""8"": 9}"
49,blk.4.ffn_down_exps.weight,112,down,4,7798784,19,148176896,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 148176896}","{""4"": 2, ""5"": 2, ""6"": 2, ""7"": 7, ""8"": 6}"
50,blk.23.ffn_down_exps.weight,103,down,23,7798784,19,148176896,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 148176896}","{""4"": 3, ""5"": 5, ""6"": 6, ""7"": 5}"
51,blk.20.ffn_down_exps.weight,3,down,20,7798784,19,148176896,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 148176896}","{""3"": 3, ""4"": 5, ""5"": 4, ""6"": 2, ""7"": 4, ""8"": 1}"
52,blk.23.ffn_down_exps.weight,290,down,23,7798784,19,148176896,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 148176896}","{""2"": 1, ""3"": 3, ""4"": 3, ""5"": 2, ""6"": 5, ""7"": 4, ""8"": 1}"
53,blk.24.ffn_down_exps.weight,75,down,24,7798784,19,148176896,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 148176896}","{""3"": 3, ""4"": 5, ""5"": 2, ""6"": 6, ""7"": 2, ""8"": 1}"
54,blk.26.ffn_down_exps.weight,109,down,26,7798784,19,148176896,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 148176896}","{""4"": 4, ""5"": 4, ""6"": 4, ""7"": 1, ""8"": 6}"
55,blk.11.ffn_down_exps.weight,288,down,11,6307840,19,119848960,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 119848960}","{""4"": 1, ""5"": 5, ""6"": 4, ""7"": 4, ""8"": 5}"
56,blk.32.ffn_down_exps.weight,27,down,32,6307840,19,119848960,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 119848960}","{""4"": 1, ""5"": 2, ""6"": 5, ""7"": 2, ""8"": 9}"
57,blk.33.ffn_down_exps.weight,172,down,33,6307840,19,119848960,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 119848960}","{""3"": 1, ""4"": 2, ""5"": 3, ""6"": 5, ""7"": 2, ""8"": 6}"
58,blk.37.ffn_down_exps.weight,116,down,37,6307840,19,119848960,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 119848960}","{""4"": 4, ""5"": 2, ""6"": 3, ""7"": 5, ""8"": 5}"
59,blk.33.ffn_down_exps.weight,41,down,33,6307840,19,119848960,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 119848960}","{""4"": 1, ""5"": 1, ""6"": 5, ""7"": 3, ""8"": 9}"
60,blk.36.ffn_down_exps.weight,372,down,36,6307840,19,119848960,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 119848960}","{""2"": 1, ""6"": 6, ""7"": 3, ""8"": 9}"
61,blk.2.ffn_down_exps.weight,64,down,2,6307840,19,119848960,"dev_france_regression,dev_intelligence_general","{""1"": 19}","{""1"": 119848960}","{""6"": 2, ""7"": 8, ""8"": 9}"
62,blk.53.ffn_down_exps.weight,179,down,53,6307840,19,119848960,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 119848960}","{""1"": 1, ""2"": 2, ""3"": 1, ""4"": 7, ""5"": 3, ""6"": 2, ""7"": 2, ""8"": 1}"
63,blk.54.ffn_down_exps.weight,225,down,54,6307840,19,119848960,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 119848960}","{""3"": 2, ""4"": 2, ""5"": 4, ""6"": 5, ""7"": 3, ""8"": 3}"
64,blk.20.ffn_up_exps.weight,3,up,20,4702208,19,89341952,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 89341952}","{""2"": 2, ""3"": 3, ""4"": 5, ""5"": 6, ""6"": 3}"
65,blk.20.ffn_gate_exps.weight,3,gate,20,4702208,19,89341952,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 89341952}","{""2"": 2, ""3"": 3, ""4"": 5, ""5"": 6, ""6"": 3}"
66,blk.10.ffn_down_exps.weight,222,down,10,8257536,18,148635648,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 148635648}","{""5"": 3, ""6"": 6, ""7"": 6, ""8"": 3}"
67,blk.14.ffn_down_exps.weight,152,down,14,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""2"": 2, ""4"": 5, ""5"": 5, ""6"": 3, ""7"": 2, ""8"": 1}"
68,blk.31.ffn_down_exps.weight,332,down,31,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""4"": 1, ""5"": 6, ""6"": 5, ""7"": 3, ""8"": 3}"
69,blk.41.ffn_down_exps.weight,334,down,41,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""1"": 1, ""2"": 3, ""3"": 3, ""4"": 7, ""5"": 2, ""6"": 1, ""7"": 1}"
70,blk.44.ffn_down_exps.weight,122,down,44,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""2"": 1, ""3"": 3, ""4"": 3, ""5"": 4, ""6"": 5, ""7"": 1, ""8"": 1}"
71,blk.60.ffn_down_exps.weight,251,down,60,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""4"": 2, ""5"": 3, ""6"": 6, ""7"": 2, ""8"": 5}"
72,blk.14.ffn_down_exps.weight,137,down,14,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""3"": 4, ""4"": 3, ""5"": 2, ""6"": 3, ""7"": 5, ""8"": 1}"
73,blk.43.ffn_down_exps.weight,1,down,43,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""3"": 2, ""4"": 3, ""5"": 5, ""6"": 3, ""7"": 2, ""8"": 3}"
74,blk.28.ffn_down_exps.weight,187,down,28,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""4"": 4, ""5"": 4, ""6"": 3, ""7"": 5, ""8"": 2}"
75,blk.30.ffn_down_exps.weight,345,down,30,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""2"": 2, ""3"": 1, ""4"": 3, ""5"": 3, ""6"": 3, ""7"": 4, ""8"": 2}"
76,blk.3.ffn_down_exps.weight,276,down,3,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""6"": 4, ""7"": 8, ""8"": 6}"
77,blk.28.ffn_down_exps.weight,302,down,28,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""4"": 4, ""5"": 5, ""6"": 3, ""7"": 4, ""8"": 2}"
78,blk.32.ffn_down_exps.weight,227,down,32,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""2"": 1, ""4"": 3, ""5"": 5, ""6"": 4, ""7"": 3, ""8"": 2}"
79,blk.48.ffn_down_exps.weight,348,down,48,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""3"": 3, ""4"": 5, ""6"": 7, ""7"": 2, ""8"": 1}"
80,blk.53.ffn_down_exps.weight,216,down,53,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""4"": 2, ""5"": 8, ""6"": 3, ""7"": 4, ""8"": 1}"
81,blk.5.ffn_down_exps.weight,249,down,5,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""5"": 1, ""6"": 3, ""7"": 7, ""8"": 7}"
82,blk.11.ffn_down_exps.weight,147,down,11,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""3"": 2, ""4"": 1, ""5"": 3, ""6"": 7, ""7"": 4, ""8"": 1}"
83,blk.6.ffn_down_exps.weight,23,down,6,8257536,17,140378112,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 140378112}","{""3"": 1, ""4"": 1, ""5"": 3, ""6"": 7, ""7"": 2, ""8"": 3}"
84,blk.15.ffn_down_exps.weight,46,down,15,8257536,17,140378112,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 140378112}","{""2"": 1, ""3"": 1, ""4"": 6, ""5"": 4, ""6"": 4, ""8"": 1}"
85,blk.4.ffn_down_exps.weight,353,down,4,7798784,17,132579328,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 132579328}","{""5"": 1, ""6"": 1, ""7"": 6, ""8"": 9}"
86,blk.25.ffn_down_exps.weight,257,down,25,7798784,17,132579328,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 132579328}","{""3"": 2, ""4"": 2, ""5"": 2, ""6"": 6, ""7"": 2, ""8"": 3}"
87,blk.19.ffn_down_exps.weight,303,down,19,7798784,17,132579328,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 132579328}","{""2"": 1, ""4"": 2, ""5"": 3, ""6"": 4, ""7"": 6, ""8"": 1}"
88,blk.1.ffn_down_exps.weight,265,down,1,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""1"": 17}","{""1"": 107233280}","{""5"": 1, ""6"": 3, ""7"": 5, ""8"": 8}"
89,blk.27.ffn_down_exps.weight,64,down,27,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""4"": 1, ""5"": 4, ""6"": 4, ""7"": 4, ""8"": 4}"
90,blk.30.ffn_down_exps.weight,382,down,30,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""5"": 1, ""6"": 4, ""8"": 12}"
91,blk.2.ffn_down_exps.weight,155,down,2,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""1"": 17}","{""1"": 107233280}","{""3"": 2, ""4"": 1, ""5"": 1, ""6"": 3, ""7"": 6, ""8"": 4}"
92,blk.55.ffn_down_exps.weight,196,down,55,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""3"": 1, ""4"": 2, ""5"": 3, ""6"": 3, ""7"": 6, ""8"": 2}"
93,blk.13.ffn_down_exps.weight,123,down,13,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""3"": 1, ""4"": 2, ""5"": 2, ""6"": 5, ""7"": 6, ""8"": 1}"
94,blk.34.ffn_down_exps.weight,218,down,34,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""2"": 1, ""4"": 3, ""5"": 8, ""6"": 1, ""7"": 2, ""8"": 2}"
95,blk.54.ffn_down_exps.weight,202,down,54,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""3"": 1, ""4"": 4, ""5"": 3, ""6"": 4, ""7"": 3, ""8"": 2}"
96,blk.55.ffn_down_exps.weight,90,down,55,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""3"": 1, ""4"": 4, ""5"": 4, ""6"": 4, ""7"": 3, ""8"": 1}"
97,blk.29.ffn_down_exps.weight,382,down,29,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""1"": 1, ""4"": 1, ""5"": 2, ""6"": 4, ""7"": 6, ""8"": 3}"
98,blk.3.ffn_down_exps.weight,338,down,3,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""6"": 5, ""7"": 8, ""8"": 4}"
99,blk.52.ffn_down_exps.weight,194,down,52,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""2"": 2, ""3"": 2, ""4"": 6, ""5"": 2, ""6"": 3, ""7"": 2}"
100,blk.3.ffn_down_exps.weight,313,down,3,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""5"": 1, ""6"": 4, ""7"": 4, ""8"": 8}"
101,blk.43.ffn_down_exps.weight,186,down,43,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""3"": 1, ""4"": 3, ""5"": 4, ""6"": 4, ""7"": 4, ""8"": 1}"
102,blk.37.ffn_down_exps.weight,28,down,37,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""2"": 1, ""3"": 3, ""4"": 5, ""5"": 4, ""6"": 2, ""8"": 2}"
103,blk.51.ffn_down_exps.weight,104,down,51,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""4"": 2, ""5"": 6, ""6"": 4, ""7"": 3, ""8"": 2}"
104,blk.28.ffn_up_exps.weight,302,up,28,4702208,17,79937536,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 79937536}","{""3"": 3, ""4"": 6, ""5"": 6, ""6"": 2}"
105,blk.10.ffn_down_exps.weight,253,down,10,8257536,16,132120576,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 132120576}","{""3"": 1, ""4"": 2, ""5"": 6, ""6"": 4, ""7"": 3}"
106,blk.15.ffn_down_exps.weight,346,down,15,8257536,16,132120576,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 132120576}","{""4"": 5, ""5"": 2, ""6"": 4, ""7"": 2, ""8"": 3}"
107,blk.9.ffn_down_exps.weight,283,down,9,8257536,16,132120576,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 132120576}","{""3"": 1, ""4"": 1, ""5"": 4, ""6"": 4, ""7"": 5, ""8"": 1}"
108,blk.18.ffn_down_exps.weight,155,down,18,8257536,16,132120576,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 132120576}","{""4"": 1, ""5"": 6, ""6"": 3, ""7"": 4, ""8"": 2}"
109,blk.7.ffn_down_exps.weight,88,down,7,8257536,16,132120576,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 132120576}","{""4"": 1, ""5"": 3, ""6"": 1, ""7"": 6, ""8"": 5}"
110,blk.20.ffn_down_exps.weight,246,down,20,7798784,16,124780544,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 124780544}","{""3"": 1, ""4"": 2, ""5"": 5, ""6"": 2, ""7"": 2, ""8"": 4}"
111,blk.21.ffn_down_exps.weight,330,down,21,7798784,16,124780544,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 124780544}","{""3"": 1, ""4"": 2, ""5"": 4, ""6"": 2, ""7"": 5, ""8"": 2}"
112,blk.57.ffn_down_exps.weight,152,down,57,7798784,16,124780544,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 124780544}","{""3"": 1, ""4"": 1, ""5"": 6, ""6"": 4, ""7"": 1, ""8"": 3}"
113,blk.25.ffn_down_exps.weight,374,down,25,7798784,16,124780544,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 124780544}","{""6"": 1, ""7"": 6, ""8"": 9}"
114,blk.57.ffn_down_exps.weight,198,down,57,7798784,16,124780544,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 124780544}","{""3"": 1, ""4"": 6, ""5"": 2, ""6"": 3, ""7"": 4}"
115,blk.26.ffn_down_exps.weight,35,down,26,7798784,16,124780544,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 124780544}","{""3"": 1, ""4"": 3, ""5"": 3, ""6"": 1, ""7"": 5, ""8"": 3}"
116,blk.24.ffn_down_exps.weight,336,down,24,7798784,16,124780544,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 124780544}","{""3"": 5, ""4"": 2, ""5"": 3, ""6"": 1, ""7"": 4, ""8"": 1}"
117,blk.20.ffn_down_exps.weight,173,down,20,7798784,16,124780544,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 124780544}","{""3"": 3, ""4"": 4, ""5"": 4, ""6"": 2, ""7"": 2, ""8"": 1}"
