rank,tensor,expert_idx,role,layer,expert_bytes,rows,bytes,prompts,source_rows,source_bytes,jobs_hist
63,blk.10.ffn_down_exps.weight,131,down,10,8257536,11,90832896,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 90832896}","{""4"": 1, ""5"": 3, ""6"": 2, ""7"": 4, ""8"": 1}"
64,blk.9.ffn_down_exps.weight,249,down,9,8257536,11,90832896,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 90832896}","{""4"": 1, ""6"": 1, ""7"": 4, ""8"": 5}"
65,blk.18.ffn_down_exps.weight,25,down,18,8257536,11,90832896,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 90832896}","{""5"": 2, ""6"": 3, ""7"": 2, ""8"": 4}"
66,blk.18.ffn_down_exps.weight,165,down,18,8257536,11,90832896,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 90832896}","{""5"": 2, ""6"": 2, ""7"": 2, ""8"": 5}"
67,blk.15.ffn_down_exps.weight,93,down,15,8257536,11,90832896,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 90832896}","{""3"": 2, ""4"": 2, ""5"": 2, ""6"": 2, ""7"": 2, ""8"": 1}"
68,blk.18.ffn_down_exps.weight,232,down,18,8257536,11,90832896,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 90832896}","{""3"": 2, ""4"": 1, ""5"": 1, ""6"": 3, ""7"": 1, ""8"": 3}"
69,blk.6.ffn_down_exps.weight,111,down,6,8257536,11,90832896,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 90832896}","{""6"": 4, ""7"": 5, ""8"": 2}"
70,blk.20.ffn_down_exps.weight,264,down,20,7798784,11,85786624,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 85786624}","{""4"": 1, ""6"": 2, ""7"": 3, ""8"": 5}"
71,blk.21.ffn_down_exps.weight,3,down,21,7798784,11,85786624,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 85786624}","{""2"": 1, ""5"": 4, ""6"": 3, ""7"": 1, ""8"": 2}"
72,blk.21.ffn_down_exps.weight,294,down,21,7798784,11,85786624,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 85786624}","{""4"": 1, ""5"": 4, ""6"": 3, ""7"": 2, ""8"": 1}"
73,blk.16.ffn_down_exps.weight,37,down,16,7798784,11,85786624,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 85786624}","{""4"": 1, ""5"": 2, ""6"": 1, ""7"": 2, ""8"": 5}"
74,blk.58.ffn_down_exps.weight,12,down,58,7798784,11,85786624,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 85786624}","{""1"": 1, ""3"": 1, ""4"": 2, ""5"": 2, ""6"": 2, ""7"": 3}"
75,blk.20.ffn_down_exps.weight,364,down,20,7798784,11,85786624,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 85786624}","{""4"": 2, ""5"": 2, ""6"": 4, ""7"": 1, ""8"": 2}"
76,blk.13.ffn_down_exps.weight,181,down,13,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""4"": 2, ""5"": 7, ""7"": 1, ""8"": 1}"
77,blk.13.ffn_down_exps.weight,203,down,13,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""4"": 1, ""5"": 3, ""6"": 1, ""7"": 2, ""8"": 4}"
78,blk.29.ffn_down_exps.weight,226,down,29,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""4"": 1, ""6"": 2, ""7"": 4, ""8"": 4}"
79,blk.32.ffn_down_exps.weight,92,down,32,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""4"": 1, ""5"": 3, ""6"": 1, ""7"": 3, ""8"": 3}"
80,blk.40.ffn_down_exps.weight,339,down,40,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""3"": 1, ""4"": 1, ""5"": 2, ""6"": 4, ""7"": 2, ""8"": 1}"
81,blk.14.ffn_down_exps.weight,10,down,14,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""3"": 1, ""6"": 4, ""7"": 4, ""8"": 2}"
82,blk.36.ffn_down_exps.weight,99,down,36,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""4"": 2, ""6"": 2, ""7"": 2, ""8"": 5}"
83,blk.47.ffn_down_exps.weight,4,down,47,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""3"": 5, ""4"": 3, ""5"": 2, ""8"": 1}"
84,blk.34.ffn_down_exps.weight,95,down,34,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""3"": 2, ""4"": 5, ""5"": 1, ""6"": 2, ""8"": 1}"
85,blk.33.ffn_down_exps.weight,263,down,33,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""4"": 2, ""5"": 2, ""6"": 1, ""7"": 3, ""8"": 3}"
86,blk.27.ffn_down_exps.weight,172,down,27,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""4"": 2, ""5"": 4, ""6"": 2, ""7"": 2, ""8"": 1}"
87,blk.55.ffn_down_exps.weight,47,down,55,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""2"": 1, ""3"": 2, ""4"": 2, ""5"": 4, ""6"": 1, ""7"": 1}"
88,blk.27.ffn_down_exps.weight,37,down,27,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""4"": 1, ""5"": 3, ""6"": 6, ""7"": 1}"
89,blk.2.ffn_down_exps.weight,64,down,2,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""1"": 11}","{""1"": 69386240}","{""6"": 2, ""7"": 5, ""8"": 4}"
90,blk.3.ffn_down_exps.weight,276,down,3,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""6"": 3, ""7"": 3, ""8"": 5}"
91,blk.3.ffn_down_exps.weight,313,down,3,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""6"": 2, ""7"": 1, ""8"": 8}"
92,blk.3.ffn_down_exps.weight,303,down,3,6307840,11,69386240,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 69386240}","{""6"": 1, ""7"": 1, ""8"": 9}"
93,blk.7.ffn_up_exps.weight,84,up,7,5619712,11,61816832,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 61816832}","{""3"": 1, ""4"": 2, ""5"": 1, ""6"": 4, ""7"": 2, ""8"": 1}"
94,blk.7.ffn_up_exps.weight,235,up,7,5619712,11,61816832,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 61816832}","{""3"": 1, ""4"": 1, ""6"": 6, ""7"": 2, ""8"": 1}"
95,blk.29.ffn_gate_exps.weight,363,gate,29,5619712,11,61816832,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 61816832}","{""4"": 1, ""5"": 1, ""6"": 5, ""7"": 1, ""8"": 3}"
96,blk.11.ffn_up_exps.weight,173,up,11,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""4"": 2, ""5"": 4, ""6"": 2, ""7"": 1, ""8"": 2}"
97,blk.11.ffn_gate_exps.weight,173,gate,11,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""4"": 2, ""5"": 4, ""6"": 2, ""7"": 1, ""8"": 2}"
98,blk.7.ffn_gate_exps.weight,84,gate,7,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""3"": 1, ""4"": 2, ""5"": 1, ""6"": 4, ""7"": 2, ""8"": 1}"
99,blk.7.ffn_gate_exps.weight,235,gate,7,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""3"": 1, ""4"": 1, ""6"": 6, ""7"": 2, ""8"": 1}"
100,blk.10.ffn_up_exps.weight,198,up,10,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""4"": 1, ""5"": 4, ""6"": 3, ""7"": 1, ""8"": 2}"
101,blk.10.ffn_gate_exps.weight,198,gate,10,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""4"": 1, ""5"": 4, ""6"": 3, ""7"": 1, ""8"": 2}"
102,blk.20.ffn_up_exps.weight,103,up,20,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""3"": 1, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 3}"
103,blk.20.ffn_gate_exps.weight,103,gate,20,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""3"": 1, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 3}"
104,blk.29.ffn_up_exps.weight,363,up,29,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""4"": 1, ""5"": 1, ""6"": 5, ""7"": 1, ""8"": 3}"
105,blk.24.ffn_up_exps.weight,344,up,24,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""4"": 2, ""5"": 1, ""6"": 4, ""7"": 2, ""8"": 2}"
106,blk.24.ffn_gate_exps.weight,344,gate,24,4702208,11,51724288,"dev_france_regression,dev_intelligence_general","{""0"": 11}","{""0"": 51724288}","{""4"": 2, ""5"": 1, ""6"": 3, ""7"": 3, ""8"": 2}"
107,blk.8.ffn_down_exps.weight,101,down,8,8257536,10,82575360,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 82575360}","{""5"": 2, ""6"": 2, ""7"": 3, ""8"": 3}"
108,blk.8.ffn_down_exps.weight,356,down,8,8257536,10,82575360,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 82575360}","{""3"": 1, ""5"": 3, ""6"": 1, ""7"": 2, ""8"": 3}"
109,blk.10.ffn_down_exps.weight,28,down,10,8257536,10,82575360,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 82575360}","{""4"": 2, ""5"": 3, ""6"": 2, ""7"": 3}"
110,blk.7.ffn_down_exps.weight,178,down,7,8257536,10,82575360,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 82575360}","{""4"": 1, ""5"": 3, ""6"": 1, ""7"": 3, ""8"": 2}"
111,blk.8.ffn_down_exps.weight,173,down,8,8257536,10,82575360,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 82575360}","{""3"": 1, ""5"": 2, ""6"": 6, ""7"": 1}"
112,blk.6.ffn_down_exps.weight,259,down,6,8257536,10,82575360,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 82575360}","{""5"": 1, ""6"": 4, ""7"": 4, ""8"": 1}"
113,blk.19.ffn_down_exps.weight,180,down,19,7798784,10,77987840,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 77987840}","{""4"": 2, ""5"": 1, ""6"": 2, ""7"": 2, ""8"": 3}"
114,blk.23.ffn_down_exps.weight,71,down,23,7798784,10,77987840,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 77987840}","{""2"": 1, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 3}"
115,blk.23.ffn_down_exps.weight,90,down,23,7798784,10,77987840,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 77987840}","{""5"": 2, ""6"": 3, ""7"": 1, ""8"": 4}"
116,blk.57.ffn_down_exps.weight,192,down,57,7798784,10,77987840,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 77987840}","{""5"": 3, ""6"": 1, ""7"": 2, ""8"": 4}"
117,blk.20.ffn_down_exps.weight,143,down,20,7798784,10,77987840,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 77987840}","{""4"": 1, ""6"": 2, ""7"": 2, ""8"": 5}"
118,blk.22.ffn_down_exps.weight,288,down,22,7798784,10,77987840,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 77987840}","{""6"": 3, ""7"": 4, ""8"": 3}"
119,blk.4.ffn_down_exps.weight,187,down,4,7798784,10,77987840,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 77987840}","{""4"": 1, ""6"": 2, ""7"": 3, ""8"": 4}"
120,blk.19.ffn_down_exps.weight,328,down,19,7798784,10,77987840,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 77987840}","{""4"": 3, ""5"": 1, ""6"": 1, ""7"": 2, ""8"": 3}"
121,blk.19.ffn_down_exps.weight,55,down,19,7798784,10,77987840,"dev_france_regression,dev_intelligence_general","{""0"": 10}","{""0"": 77987840}","{""4"": 3, ""5"": 1, ""6"": 2, ""7"": 3, ""8"": 1}"
