layer	kind	type	tensor_bytes	expert_bytes	n_experts	entries	shard_index	data_offset	shape	tensor	shard_path
4	gate	IQ3_XXS	2157969408	5619712	384	384	1	26147842592	7168,2048,384	blk.4.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
4	up	IQ3_XXS	2157969408	5619712	384	384	1	28332448288	7168,2048,384	blk.4.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
5	down	Q3_K	2422210560	6307840	384	384	1	30613495840	2048,7168,384	blk.5.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
5	gate	IQ3_XXS	2157969408	5619712	384	384	1	33051303968	7168,2048,384	blk.5.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
5	up	IQ3_XXS	2157969408	5619712	384	384	1	35235909664	7168,2048,384	blk.5.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
6	down	Q4_0	3170893824	8257536	384	384	1	37516957216	2048,7168,384	blk.6.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
6	gate	IQ3_XXS	2157969408	5619712	384	384	1	40703448608	7168,2048,384	blk.6.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
6	up	IQ3_XXS	2157969408	5619712	384	384	1	42888054304	7168,2048,384	blk.6.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
7	down	Q4_0	3170893824	8257536	384	384	1	45169101856	2048,7168,384	blk.7.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
7	gate	IQ2_S	1805647872	4702208	384	384	2	8544	7168,2048,384	blk.7.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
7	up	IQ3_XXS	2157969408	5619712	384	384	2	1832292704	7168,2048,384	blk.7.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
8	down	Q4_0	3170893824	8257536	384	384	2	4113340256	2048,7168,384	blk.8.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
8	gate	IQ2_S	1805647872	4702208	384	384	2	7299831648	7168,2048,384	blk.8.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
8	up	IQ3_XXS	2157969408	5619712	384	384	2	9132115808	7168,2048,384	blk.8.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
9	down	Q4_0	3170893824	8257536	384	384	2	11413163360	2048,7168,384	blk.9.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
9	gate	IQ2_S	1805647872	4702208	384	384	2	14599654752	7168,2048,384	blk.9.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
9	up	IQ3_XXS	2157969408	5619712	384	384	2	16431938912	7168,2048,384	blk.9.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
10	down	Q4_0	3170893824	8257536	384	384	2	18712986464	2048,7168,384	blk.10.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
10	gate	IQ2_S	1805647872	4702208	384	384	2	21899477856	7168,2048,384	blk.10.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
10	up	IQ2_S	1805647872	4702208	384	384	2	23731762016	7168,2048,384	blk.10.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
11	down	Q3_K	2422210560	6307840	384	384	2	25660488032	2048,7168,384	blk.11.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
11	gate	IQ2_S	1805647872	4702208	384	384	2	28098296160	7168,2048,384	blk.11.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
11	up	IQ2_S	1805647872	4702208	384	384	2	29930580320	7168,2048,384	blk.11.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
12	down	Q3_K	2422210560	6307840	384	384	2	31859306336	2048,7168,384	blk.12.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
12	gate	IQ2_S	1805647872	4702208	384	384	2	34297114464	7168,2048,384	blk.12.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
12	up	IQ2_S	1805647872	4702208	384	384	2	36129398624	7168,2048,384	blk.12.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
13	down	Q3_K	2422210560	6307840	384	384	2	38058124640	2048,7168,384	blk.13.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
13	gate	IQ2_S	1805647872	4702208	384	384	2	40495932768	7168,2048,384	blk.13.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
13	up	IQ2_S	1805647872	4702208	384	384	2	42328216928	7168,2048,384	blk.13.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
14	down	Q3_K	2422210560	6307840	384	384	2	44256942944	2048,7168,384	blk.14.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
14	gate	IQ3_XXS	2157969408	5619712	384	384	2	46694751072	7168,2048,384	blk.14.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00003-of-00010.gguf
14	up	IQ2_S	1805647872	4702208	384	384	3	9088	7168,2048,384	blk.14.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
15	down	Q4_0	3170893824	8257536	384	384	3	1928735104	2048,7168,384	blk.15.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
15	gate	IQ2_S	1805647872	4702208	384	384	3	5115226496	7168,2048,384	blk.15.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
15	up	IQ2_S	1805647872	4702208	384	384	3	6947510656	7168,2048,384	blk.15.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
16	down	IQ4_XS	2994733056	7798784	384	384	3	8876236672	2048,7168,384	blk.16.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
16	gate	IQ2_S	1805647872	4702208	384	384	3	11886567296	7168,2048,384	blk.16.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
16	up	IQ2_S	1805647872	4702208	384	384	3	13718851456	7168,2048,384	blk.16.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
17	down	Q3_K	2422210560	6307840	384	384	3	15647577472	2048,7168,384	blk.17.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
17	gate	IQ2_S	1805647872	4702208	384	384	3	18085385600	7168,2048,384	blk.17.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
17	up	IQ2_S	1805647872	4702208	384	384	3	19917669760	7168,2048,384	blk.17.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
18	down	Q4_0	3170893824	8257536	384	384	3	21846395776	2048,7168,384	blk.18.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
18	gate	IQ2_S	1805647872	4702208	384	384	3	25032887168	7168,2048,384	blk.18.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
18	up	IQ2_S	1805647872	4702208	384	384	3	26865171328	7168,2048,384	blk.18.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
19	down	IQ4_XS	2994733056	7798784	384	384	3	28793897344	2048,7168,384	blk.19.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
19	gate	IQ2_S	1805647872	4702208	384	384	3	31804227968	7168,2048,384	blk.19.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
19	up	IQ2_S	1805647872	4702208	384	384	3	33636512128	7168,2048,384	blk.19.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
20	down	IQ4_XS	2994733056	7798784	384	384	3	35565238144	2048,7168,384	blk.20.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
20	gate	IQ2_S	1805647872	4702208	384	384	3	38575568768	7168,2048,384	blk.20.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
20	up	IQ2_S	1805647872	4702208	384	384	3	40407852928	7168,2048,384	blk.20.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
21	down	IQ4_XS	2994733056	7798784	384	384	3	42336578944	2048,7168,384	blk.21.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
21	gate	IQ2_S	1805647872	4702208	384	384	3	45346909568	7168,2048,384	blk.21.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
21	up	IQ2_S	1805647872	4702208	384	384	3	47179193728	7168,2048,384	blk.21.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00004-of-00010.gguf
22	down	IQ4_XS	2994733056	7798784	384	384	4	8448	2048,7168,384	blk.22.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
22	gate	IQ2_S	1805647872	4702208	384	384	4	3010339072	7168,2048,384	blk.22.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
22	up	IQ2_S	1805647872	4702208	384	384	4	4842623232	7168,2048,384	blk.22.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
23	down	IQ4_XS	2994733056	7798784	384	384	4	6771349248	2048,7168,384	blk.23.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
23	gate	IQ2_S	1805647872	4702208	384	384	4	9781679872	7168,2048,384	blk.23.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
23	up	IQ2_S	1805647872	4702208	384	384	4	11613964032	7168,2048,384	blk.23.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
24	down	IQ4_XS	2994733056	7798784	384	384	4	13542690048	2048,7168,384	blk.24.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
24	gate	IQ2_S	1805647872	4702208	384	384	4	16553020672	7168,2048,384	blk.24.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
24	up	IQ2_S	1805647872	4702208	384	384	4	18385304832	7168,2048,384	blk.24.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
25	down	IQ4_XS	2994733056	7798784	384	384	4	20314030848	2048,7168,384	blk.25.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
25	gate	IQ2_S	1805647872	4702208	384	384	4	23324361472	7168,2048,384	blk.25.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
25	up	IQ2_S	1805647872	4702208	384	384	4	25156645632	7168,2048,384	blk.25.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
26	down	IQ4_XS	2994733056	7798784	384	384	4	27085371648	2048,7168,384	blk.26.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
26	gate	IQ2_S	1805647872	4702208	384	384	4	30095702272	7168,2048,384	blk.26.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
26	up	IQ2_S	1805647872	4702208	384	384	4	31927986432	7168,2048,384	blk.26.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
27	down	Q3_K	2422210560	6307840	384	384	4	33856712448	2048,7168,384	blk.27.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
27	gate	IQ2_S	1805647872	4702208	384	384	4	36294520576	7168,2048,384	blk.27.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
27	up	IQ2_S	1805647872	4702208	384	384	4	38126804736	7168,2048,384	blk.27.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
28	down	Q3_K	2422210560	6307840	384	384	4	40055530752	2048,7168,384	blk.28.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
28	gate	IQ3_XXS	2157969408	5619712	384	384	4	42493338880	7168,2048,384	blk.28.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
28	up	IQ2_S	1805647872	4702208	384	384	4	44677944576	7168,2048,384	blk.28.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
29	down	Q3_K	2422210560	6307840	384	384	4	46606670592	2048,7168,384	blk.29.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00005-of-00010.gguf
29	gate	IQ3_XXS	2157969408	5619712	384	384	5	9344	7168,2048,384	blk.29.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
29	up	IQ2_S	1805647872	4702208	384	384	5	2184615040	7168,2048,384	blk.29.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
30	down	Q3_K	2422210560	6307840	384	384	5	4113341056	2048,7168,384	blk.30.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
30	gate	IQ3_XXS	2157969408	5619712	384	384	5	6551149184	7168,2048,384	blk.30.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
30	up	IQ2_S	1805647872	4702208	384	384	5	8735754880	7168,2048,384	blk.30.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
31	down	Q3_K	2422210560	6307840	384	384	5	10664480896	2048,7168,384	blk.31.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
31	gate	IQ3_XXS	2157969408	5619712	384	384	5	13102289024	7168,2048,384	blk.31.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
31	up	IQ2_S	1805647872	4702208	384	384	5	15286894720	7168,2048,384	blk.31.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
32	down	Q3_K	2422210560	6307840	384	384	5	17215620736	2048,7168,384	blk.32.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
32	gate	IQ3_XXS	2157969408	5619712	384	384	5	19653428864	7168,2048,384	blk.32.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
32	up	IQ2_S	1805647872	4702208	384	384	5	21838034560	7168,2048,384	blk.32.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
33	down	Q3_K	2422210560	6307840	384	384	5	23766760576	2048,7168,384	blk.33.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
33	gate	IQ3_XXS	2157969408	5619712	384	384	5	26204568704	7168,2048,384	blk.33.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
33	up	IQ2_S	1805647872	4702208	384	384	5	28389174400	7168,2048,384	blk.33.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
34	down	Q3_K	2422210560	6307840	384	384	5	30317900416	2048,7168,384	blk.34.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
34	gate	IQ3_XXS	2157969408	5619712	384	384	5	32755708544	7168,2048,384	blk.34.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
34	up	IQ2_S	1805647872	4702208	384	384	5	34940314240	7168,2048,384	blk.34.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
35	down	Q3_K	2422210560	6307840	384	384	5	36869040256	2048,7168,384	blk.35.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
35	gate	IQ3_XXS	2157969408	5619712	384	384	5	39306848384	7168,2048,384	blk.35.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
35	up	IQ2_S	1805647872	4702208	384	384	5	41491454080	7168,2048,384	blk.35.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
36	down	Q3_K	2422210560	6307840	384	384	5	43420180096	2048,7168,384	blk.36.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00006-of-00010.gguf
