prompt,path,ngram,n_draft,tokens,steps,drafted,accepted,accept_rate,avg_accepted_per_step,effective_tokens_per_step,nonzero_step_fraction,max_accepted_run
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,1,16,28,25,42,2,0.047619047619047616,0.08,1.12,0.08,1
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,2,4,28,27,7,0,0.0,0.0,1.037037037037037,0.0,0
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,2,8,28,27,10,0,0.0,0.0,1.037037037037037,0.0,0
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,2,16,28,27,10,0,0.0,0.0,1.037037037037037,0.0,0
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,3,4,28,27,0,0,0.0,0.0,1.037037037037037,0.0,0
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,3,8,28,27,0,0,0.0,0.0,1.037037037037037,0.0,0
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,3,16,28,27,0,0,0.0,0.0,1.037037037037037,0.0,0
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,4,4,28,27,0,0,0.0,0.0,1.037037037037037,0.0,0
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,4,8,28,27,0,0,0.0,0.0,1.037037037037037,0.0,0
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,4,16,28,27,0,0,0.0,0.0,1.037037037037037,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,1,4,52,51,32,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,1,8,52,51,63,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,1,16,52,51,117,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,2,4,52,51,0,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,2,8,52,51,0,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,2,16,52,51,0,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,3,4,52,51,0,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,3,8,52,51,0,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,3,16,52,51,0,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,4,4,52,51,0,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,4,8,52,51,0,0,0.0,0.0,1.0196078431372548,0.0,0
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/answer.txt,4,16,52,51,0,0,0.0,0.0,1.0196078431372548,0.0,0
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,1,4,85,81,83,4,0.04819277108433735,0.04938271604938271,1.0493827160493827,0.04938271604938271,1
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,1,8,85,81,147,4,0.027210884353741496,0.04938271604938271,1.0493827160493827,0.04938271604938271,1
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,1,16,85,81,240,4,0.016666666666666666,0.04938271604938271,1.0493827160493827,0.04938271604938271,1
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,2,4,85,84,16,0,0.0,0.0,1.0119047619047619,0.0,0
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,2,8,85,84,32,0,0.0,0.0,1.0119047619047619,0.0,0
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,2,16,85,84,49,0,0.0,0.0,1.0119047619047619,0.0,0
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,3,4,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,3,8,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,3,16,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,4,4,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,4,8,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_photosynthesis_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_photosynthesis_factual/answer.txt,4,16,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,1,4,113,99,164,13,0.07926829268292683,0.13131313131313133,1.1414141414141414,0.09090909090909091,4
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,1,8,113,98,276,14,0.050724637681159424,0.14285714285714285,1.153061224489796,0.08163265306122448,7
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,1,16,113,98,439,14,0.03189066059225513,0.14285714285714285,1.153061224489796,0.08163265306122448,7
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,2,4,113,104,52,8,0.15384615384615385,0.07692307692307693,1.0865384615384615,0.038461538461538464,4
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,2,8,113,103,89,9,0.10112359550561797,0.08737864077669903,1.0970873786407767,0.02912621359223301,6
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,2,16,113,103,161,9,0.055900621118012424,0.08737864077669903,1.0970873786407767,0.02912621359223301,6
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,3,4,113,106,32,6,0.1875,0.05660377358490566,1.0660377358490567,0.02830188679245283,4
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,3,8,113,105,56,7,0.125,0.06666666666666667,1.0761904761904761,0.02857142857142857,5
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,3,16,113,105,106,7,0.0660377358490566,0.06666666666666667,1.0761904761904761,0.02857142857142857,5
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,4,4,113,107,16,5,0.3125,0.04672897196261682,1.0560747663551402,0.018691588785046728,4
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,4,8,113,107,32,5,0.15625,0.04672897196261682,1.0560747663551402,0.018691588785046728,4
dev_python_reverse,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_python_reverse/answer.txt,4,16,113,107,64,5,0.078125,0.04672897196261682,1.0560747663551402,0.018691588785046728,4
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,1,4,80,78,59,1,0.01694915254237288,0.01282051282051282,1.0256410256410255,0.01282051282051282,1
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,1,8,80,78,111,1,0.009009009009009009,0.01282051282051282,1.0256410256410255,0.01282051282051282,1
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,1,16,80,78,201,1,0.004975124378109453,0.01282051282051282,1.0256410256410255,0.01282051282051282,1
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,2,4,80,79,4,0,0.0,0.0,1.0126582278481013,0.0,0
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,2,8,80,79,8,0,0.0,0.0,1.0126582278481013,0.0,0
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,2,16,80,79,16,0,0.0,0.0,1.0126582278481013,0.0,0
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,3,4,80,79,0,0,0.0,0.0,1.0126582278481013,0.0,0
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,3,8,80,79,0,0,0.0,0.0,1.0126582278481013,0.0,0
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,3,16,80,79,0,0,0.0,0.0,1.0126582278481013,0.0,0
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,4,4,80,79,0,0,0.0,0.0,1.0126582278481013,0.0,0
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,4,8,80,79,0,0,0.0,0.0,1.0126582278481013,0.0,0
dev_zh_france,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_zh_france/answer.txt,4,16,80,79,0,0,0.0,0.0,1.0126582278481013,0.0,0
